Serial Number	Cathode Luminous Sens. (µA/lm)	Anode Luminous Sens. (A/lm)	Anode Dark Current (nA)	Cathode Blue Sens. Index	Supply Voltage 2.105 (V)	Supply Voltage 106 (V)	P/V	T.T.S (ns)	Dark Counts (s-1)
295	94	12.3	19	13.2	1350	1860	2.36	2.092	2000
296	107	16.4	0.56	14.4	1310	1800	2.55	2.145	5200
297	112	15.3	44	14.9	1340	1840	2.72	2.055	3400
298	109	12.5	1.4	13.9	1380	1910	2.88	2.05	7500
299	115	14.5	0.81	14.9	1360	1880	2.08	2.144	4800
301	108	17.9	2.2	14.6	1300	1770	2.33	2.186	4200
303	136	25.6	4.1	16.4	1260	1720	2.91	2.51	5200
304	88	13.1	34	12.9	1320	1800	2.6	2.283	3600
306	107	16	34	14.5	1320	1810	2.71	2.297	4400
307	134	24.7	21	15.4	1260	1730	2.38	2.362	6300
309	150	32.5	39	16.2	1240	1670	2.23	2.391	8200
311	94	16.5	0.59	13.6	1280	1750	2.27	2.252	4500
312	99	17.8	42	14.1	1270	1720	2.54	2.464	2600
313	89	13.7	22	13.4	1320	1800	2.58	2.174	2800
314	91	16.7	40	13.5	1270	1730	2.09	2.354	4000
315	124	23.7	3.6	14.9	1260	1720	2.06	2.361	4700
316	107	20.7	2.1	13.5	1250	1700	2.72	2.187	5300
317	100	19.2	0.57	14	1260	1710	2.44	2.294	5500
318	120	17.6	2	14.8	1320	1800	2.33	2.142	6500
320	105	17.7	1.8	14.2	1300	1760	2.16	2.217	3400
321	137	22.6	46	15.2	1300	1720	2.18	2.287	8000
322	101	16.4	1.7	14.1	1290	1750	2.88	2.257	3200
323	92	10.7	0.64	13.3	1380	1890	2.87	2.351	2000
324	101	11.6	0.51	13.9	1380	1880	2.4	2.16	4600
325	115	25.1	2.3	14.3	1230	1660	2.46	2.261	6500
326	88	11.9	1.8	13.2	1240	1830	2.3	2.166	1300
327	104	15.2	2	14.1	1330	1800	2.16	2.217	4900
328	118	14.5	0.88	15.5	1370	1870	2.54	2.199	2600
329	102	19.2	1.3	14.1	1260	1720	3.37	2.302	3200
330	133	18.5	0.79	15.2	1340	1830	2.4	2.232	3200
331	111	12.8	0.44	14.7	1380	1920	2.66	2.226	1200
332	97	13.6	0.51	13.9	1340	1820	2.9	2.307	1800
333	123	18.6	0.93	15.4	1320	1800	2.4	2.379	2100
335	77	8.6	0.31	12.5	1390	1910	2.44	2.254	600
336	103	12	0.37	14.3	1380	1880	2.37	2.699	2200
337	107	17.2	1.5	14.2	1300	1860	2.11	2.329	4700
339	113	22.4	2.9	14.8	1250	1680	2.1	2.115	5400
342	111	13.3	0.48	14.2	1380	1900	2.25	2.393	2600
345	116	13.5	0.92	14.1	1380	1900	2.6	2.217	3900
